"alteration"	"cis"	"mediated_trans"	"mediated_trans_weighted"	"total_trans"	"frac_mediated_trans"	"frac_mediated_trans_weighted"	"num_path_h.all.v5.0.symbols"	"num_path_c2.cp.v5.0.symbols"	"num_path_c3.tft.v5.0.symbols"	"paths_h.all.v5.0.symbols"	"paths_c2.cp.v5.0.symbols"	"paths_c3.tft.v5.0.symbols"	"rank"
"AmplificationPeak3"	"VPS72"	5	3.94634699134947	311	0.0160771704180064	0.0126892186217025	0	0	0	""	""	""	11
"AmplificationPeak3"	"UBQLN4"	4	3.72589001578379	311	0.0128617363344051	0.0119803537485009	0	0	0	""	""	""	12
"AmplificationPeak3"	"CKS1B"	5	2.95303872006116	311	0.0160771704180064	0.00949530135067898	0	0	0	""	""	""	13
"AmplificationPeak3"	"RFWD2"	3	2.89495939826081	311	0.00964630225080386	0.00930855111980969	0	0	0	""	""	""	14
"AmplificationPeak3"	"CERS2"	4	2.87016245368705	311	0.0128617363344051	0.00922881817905802	0	0	0	""	""	""	15
"AmplificationPeak3"	"B4GALT3"	3	1.67838306557015	311	0.00964630225080386	0.00539673011437347	0	0	0	""	""	""	16
"AmplificationPeak3"	"DARS2"	2	1.53658654867958	311	0.00643086816720257	0.00494079276102758	0	0	0	""	""	""	17
"AmplificationPeak3"	"MRPL24"	2	1.51816790285136	311	0.00643086816720257	0.00488156881945773	0	0	0	""	""	""	18
"AmplificationPeak3"	"DEDD"	2	1.37110824790895	311	0.00643086816720257	0.00440870819263327	0	0	0	""	""	""	19
"AmplificationPeak3"	"NIT1"	1	1	311	0.00321543408360129	0.00321543408360129	0	0	0	""	""	""	20
"AmplificationPeak3"	"MRPL9"	1	0.897433270777219	311	0.00321543408360129	0.00288563752661485	0	0	0	""	""	""	21
"AmplificationPeak3"	"RRNAD1"	2	0.838275738003938	311	0.00643086816720257	0.00269542037943389	0	0	0	""	""	""	22
"AmplificationPeak3"	"KIAA0907"	1	0.764153164983396	311	0.00321543408360129	0.00245708413177941	0	0	0	""	""	""	23
"AmplificationPeak3"	"PSMD4"	1	0.733082196628988	311	0.00321543408360129	0.00235717748112215	0	0	0	""	""	""	24
"AmplificationPeak3"	"ACP6"	1	0.727444504843425	311	0.00321543408360129	0.00233904985480201	0	0	0	""	""	""	25
"AmplificationPeak3"	"CHTOP"	1	0.713821341366413	311	0.00321543408360129	0.00229524547063155	0	0	0	""	""	""	26
"AmplificationPeak3"	"GOLPH3L"	1	0.706887052232616	311	0.00321543408360129	0.0022729487210052	0	0	0	""	""	""	27
"AmplificationPeak3"	"POLR3C"	1	0.662994163348548	311	0.00321543408360129	0.00213181403005964	0	0	0	""	""	""	28
"AmplificationPeak3"	"SMG5"	1	0.654287882550359	311	0.00321543408360129	0.00210381955803974	0	0	0	""	""	""	29
"AmplificationPeak3"	"SEC16B"	1	0.637118062426691	311	0.00321543408360129	0.00204861113320479	0	0	0	""	""	""	30
"AmplificationPeak3"	"TPM3"	1	0.630531766063767	311	0.00321543408360129	0.00202743333139475	0	0	0	""	""	""	31
"AmplificationPeak3"	"MTX1"	1	0.561108959882963	311	0.00321543408360129	0.00180420887422175	0	0	0	""	""	""	32
"AmplificationPeak3"	"NUF2"	1	0.52039826849766	311	0.00321543408360129	0.00167330632957447	0	0	0	""	""	""	33
"AmplificationPeak3"	"ZBTB7B"	1	0.49828475944821	311	0.00321543408360129	0.00160220179886884	0	0	0	""	""	""	34
"AmplificationPeak3"	"POGZ"	1	0.475746404807586	311	0.00321543408360129	0.00152973120516909	0	0	0	""	""	""	35
"AmplificationPeak3"	"ACBD6"	1	0.447912590198182	311	0.00321543408360129	0.00144023340899737	0	0	0	""	""	""	36
"AmplificationPeak3"	"BLZF1"	1	0.39146873948364	311	0.00321543408360129	0.00125874192760013	0	0	0	""	""	""	37
"AmplificationPeak3"	"PIAS3"	1	0.332278638173383	311	0.00321543408360129	0.00106842005843532	0	0	0	""	""	""	38
"AmplificationPeak3"	"UBE2Q1"	0	0	311	0	0	0	0	0	""	""	""	39
"AmplificationPeak3"	"NDUFS2"	0	0	311	0	0	0	0	0	""	""	""	40
"AmplificationPeak3"	"TARS2"	0	0	311	0	0	0	0	0	""	""	""	41
"AmplificationPeak3"	"DAP3"	0	0	311	0	0	0	0	0	""	""	""	42
"AmplificationPeak3"	"SETDB1"	0	0	311	0	0	0	0	0	""	""	""	43
"AmplificationPeak3"	"UBAP2L"	0	0	311	0	0	0	0	0	""	""	""	44
"AmplificationPeak3"	"TMCO1"	0	0	311	0	0	0	0	0	""	""	""	45
"AmplificationPeak3"	"GABPB2"	0	0	311	0	0	0	0	0	""	""	""	46
"AmplificationPeak3"	"TIPRL"	0	0	311	0	0	0	0	0	""	""	""	47
"AmplificationPeak3"	"YY1AP1"	0	0	311	0	0	0	0	0	""	""	""	48
"AmplificationPeak3"	"MSTO1"	0	0	311	0	0	0	0	0	""	""	""	49
"AmplificationPeak3"	"POGK"	0	0	311	0	0	0	0	0	""	""	""	50
"AmplificationPeak3"	"RBM8A"	0	0	311	0	0	0	0	0	""	""	""	51
"AmplificationPeak3"	"CCT3"	0	0	311	0	0	0	0	0	""	""	""	52
"AmplificationPeak3"	"PRCC"	0	0	311	0	0	0	0	0	""	""	""	53
"AmplificationPeak3"	"SDHC"	0	0	311	0	0	0	0	0	""	""	""	54
"AmplificationPeak3"	"METTL13"	0	0	311	0	0	0	0	0	""	""	""	55
"AmplificationPeak3"	"ISG20L2"	0	0	311	0	0	0	0	0	""	""	""	56
"AmplificationPeak3"	"ILF2"	0	0	311	0	0	0	0	0	""	""	""	57
"AmplificationPeak3"	"SCAMP3"	0	0	311	0	0	0	0	0	""	""	""	58
"AmplificationPeak3"	"SNX27"	0	0	311	0	0	0	0	0	""	""	""	59
"AmplificationPeak3"	"CRTC2"	0	0	311	0	0	0	0	0	""	""	""	60
"AmplificationPeak3"	"GPATCH4"	0	0	311	0	0	0	0	0	""	""	""	61
"AmplificationPeak3"	"STX6"	0	0	311	0	0	0	0	0	""	""	""	62
"AmplificationPeak3"	"ARHGEF11"	0	0	311	0	0	0	0	0	""	""	""	63
"AmplificationPeak3"	"UFC1"	0	0	311	0	0	0	0	0	""	""	""	64
"AmplificationPeak3"	"ENSA"	0	0	311	0	0	0	0	0	""	""	""	65
"AmplificationPeak3"	"ZNF687"	0	0	311	0	0	0	0	0	""	""	""	66
"AmplificationPeak3"	"CACYBP"	0	0	311	0	0	0	0	0	""	""	""	67
"AmplificationPeak3"	"PRPF3"	0	0	311	0	0	0	0	0	""	""	""	68
